#Tempo(s)	Intensità (Un. Arb.)

92.51560000000001	2.648926
92.53122500000001	2.648926
92.53122500000001	2.636719
92.54685000000001	2.648926
92.56247500000001	2.612305
92.57810000000001	2.636719
92.57810000000001	2.612305
92.59372500000001	2.636719
92.59372500000001	2.612305
92.60935000000001	2.648926
92.60935000000001	2.600098
92.62497500000001	2.648926
92.64060000000001	2.600098
92.65622500000001	2.624512
92.65622500000001	2.600098
92.67185000000001	2.612305
92.67185000000001	2.587891
92.68747500000001	2.624512
92.68747500000001	2.587891
92.70310000000001	2.612305
92.71872500000001	2.600098
92.73435000000001	2.600098
92.73435000000001	2.587891
92.74997500000001	2.600098
92.74997500000001	2.563477
92.76560000000001	2.600098
92.78122500000001	2.55127
92.79685000000001	2.600098
92.79685000000001	2.563477
92.81247500000001	2.612305
92.81247500000001	2.539062
92.82810000000001	2.587891
92.84372500000001	2.539062
92.84372500000001	2.563477
92.85935000000001	2.563477
92.87497500000001	2.55127
92.87497500000001	2.55127
92.89060000000001	2.575684
92.89060000000001	2.539062
92.90622500000001	2.575684
92.92185000000001	2.539062
92.93747500000001	2.55127
92.93747500000001	2.539062
92.95310000000001	2.55127
92.95310000000001	2.526855
92.96872500000001	2.563477
92.96872500000001	2.526855
92.98435000000001	2.55127
92.99997500000001	2.526855
93.01560000000001	2.539062
93.01560000000001	2.514648
93.03122500000001	2.526855
93.03122500000001	2.502441
93.04685000000001	2.526855
93.04685000000001	2.514648
93.07810000000001	2.514648
93.07810000000001	2.502441
93.09372500000001	2.514648
93.09372500000001	2.490234
93.10935000000001	2.514648
93.10935000000001	2.490234
93.12497500000001	2.514648
93.14060000000001	2.490234
93.15622500000001	2.514648
93.15622500000001	2.490234
93.17185000000001	2.502441
93.17185000000001	2.490234
93.18747500000001	2.502441
93.18747500000001	2.490234
93.20310000000001	2.490234
93.21872500000001	2.490234
93.23435000000001	2.490234
93.23435000000001	2.478027
93.24997500000001	2.478027
93.24997500000001	2.478027
93.26560000000001	2.478027
93.28122500000001	2.46582
93.29685000000001	2.478027
93.29685000000001	2.46582
93.31247500000001	2.478027
93.31247500000001	2.46582
93.32810000000001	2.46582
93.34372500000001	2.478027
93.34372500000001	2.453613
93.35935000000001	2.46582
93.37497500000001	2.453613
93.37497500000001	2.46582
93.39060000000001	2.46582
93.39060000000001	2.453613
93.40622500000001	2.453613
93.40622500000001	2.453613
93.43747500000001	2.441406
93.43747500000001	2.46582
93.45310000000001	2.441406
93.45310000000001	2.453613
93.46872500000001	2.453613
93.46872500000001	2.453613
93.48435000000001	2.441406
93.49997500000001	2.453613
93.51560000000001	2.429199
93.51560000000001	2.453613
93.53122500000001	2.429199
93.53122500000001	2.453613
93.54685000000001	2.441406
93.56247500000001	2.429199
93.56247500000001	2.429199
93.57810000000001	2.441406
93.59372500000001	2.429199
93.59372500000001	2.453613
93.60935000000001	2.429199
93.60935000000001	2.441406
93.62497500000001	2.416992
93.64060000000001	2.441406
93.65622500000001	2.416992
93.65622500000001	2.441406
93.67185000000001	2.429199
93.67185000000001	2.429199
93.68747500000001	2.416992
93.68747500000001	2.429199
93.71872500000001	2.404785
93.71872500000001	2.429199
93.73435000000001	2.404785
93.73435000000001	2.441406
93.74997500000001	2.404785
93.74997500000001	2.429199
93.76560000000001	2.404785
93.78122500000001	2.429199
93.79685000000001	2.404785
93.79685000000001	2.416992
93.81247500000001	2.404785
93.81247500000001	2.416992
93.82810000000001	2.404785
93.84372500000001	2.429199
93.84372500000001	2.392578
93.85935000000001	2.416992
93.87497500000001	2.392578
93.87497500000001	2.416992
93.89060000000001	2.392578
93.89060000000001	2.416992
93.90622500000001	2.392578
93.90622500000001	2.404785
93.93747500000001	2.392578
93.93747500000001	2.416992
93.95310000000001	2.380371
93.95310000000001	2.416992
93.96872500000001	2.380371
93.96872500000001	2.404785
93.98435000000001	2.380371
93.99997500000001	2.404785
94.01560000000001	2.380371
94.01560000000001	2.404785
94.03122500000001	2.380371
94.03122500000001	2.404785
94.04685000000001	2.380371
94.04685000000001	2.392578
94.07810000000001	2.380371
94.07810000000001	2.404785
94.09372500000001	2.380371
94.09372500000001	2.404785
94.10935000000001	2.368164
94.10935000000001	2.404785
94.12497500000001	2.368164
94.14060000000001	2.392578
94.15622500000001	2.380371
94.15622500000001	2.392578
94.17185000000001	2.368164
94.17185000000001	2.392578
94.18747500000001	2.368164
94.20310000000001	2.392578
94.21872500000001	2.368164
94.21872500000001	2.380371
94.23435000000001	2.368164
94.23435000000001	2.380371
94.24997500000001	2.355957
94.24997500000001	2.392578
94.26560000000001	2.355957
94.28122500000001	2.380371
94.29685000000001	2.368164
94.29685000000001	2.368164
94.31247500000001	2.368164
94.31247500000001	2.380371
94.32810000000001	2.355957
94.32810000000001	2.380371
94.34372500000001	2.368164
94.35935000000001	2.380371
94.37497500000001	2.368164
94.37497500000001	2.368164
